,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FBgn0040551.4,5.39676084818733e-63,-1.09876272189676,0.915,0.901,1.07935216963747e-59,5,FBgn0040551
FBgn0032422.4,9.77882265277357e-63,-1.6999090399083,0.978,0.968,1.95576453055471e-59,5,FBgn0032422
FBgn0024150.4,1.45267023945142e-62,-1.04476747029262,0.712,0.751,2.90534047890283e-59,5,FBgn0024150
FBgn0265413.5,1.52525523720009e-61,-1.22216079710142,0.903,0.898,3.05051047440018e-58,5,FBgn0265413
FBgn0051092.4,5.66768142926894e-61,-0.740655525618768,0.749,0.808,1.13353628585379e-57,5,FBgn0051092
FBgn0035678,2.93111163781179e-60,1.89719092829881,0.646,0.592,5.86222327562358e-57,5,FBgn0035678
FBgn0000299.5,4.32582603406527e-60,0.481000747483784,0.98,0.935,8.65165206813053e-57,5,FBgn0000299
FBgn0032727,1.12378330582833e-59,1.16907859666786,0.728,0.714,2.24756661165666e-56,5,FBgn0032727
FBgn0000636.4,2.1179046732662e-59,-0.414726991946026,0.673,0.731,4.2358093465324e-56,5,FBgn0000636
FBgn0001091.4,2.38698429817659e-59,-0.633229461342597,0.671,0.815,4.77396859635318e-56,5,FBgn0001091
FBgn0030326.4,1.44850997511551e-58,-0.252873815532808,0.523,0.732,2.89701995023102e-55,5,FBgn0030326
FBgn0001220,3.54872969368891e-58,0.504246361742089,0.812,0.643,7.09745938737782e-55,5,FBgn0001220
FBgn0003886.4,4.44912571807281e-58,-1.29783423065984,0.993,0.993,8.89825143614561e-55,5,FBgn0003886
FBgn0053111.5,2.56183026540231e-57,-0.474828960193514,0.675,0.776,5.12366053080463e-54,5,FBgn0053111
FBgn0038206.5,2.76720521468535e-57,-1.31327542080112,0.852,0.862,5.5344104293707e-54,5,FBgn0038206
FBgn0003206.4,4.36241254554225e-57,-0.577672205685752,0.701,0.771,8.7248250910845e-54,5,FBgn0003206
FBgn0265375.4,6.25841051905391e-56,-1.51147037840405,0.927,0.895,1.25168210381078e-52,5,FBgn0265375
FBgn0003660.5,1.03953154038554e-55,-0.963769406105942,0.941,0.927,2.07906308077107e-52,5,FBgn0003660
FBgn0034880.4,1.34323980099539e-54,-0.58043123173281,0.743,0.799,2.68647960199079e-51,5,FBgn0034880
FBgn0040813.5,4.00620001705906e-54,0.531892691841315,0.998,0.995,8.01240003411813e-51,5,FBgn0040813
FBgn0014141.4,6.22383556578679e-54,-1.06907676693746,0.975,0.965,1.24476711315736e-50,5,FBgn0014141
FBgn0034408.3,1.17154546023179e-53,-0.667701292380282,0.697,0.721,2.34309092046358e-50,5,FBgn0034408
FBgn0052264.4,2.66572620549289e-53,-0.463123471532394,0.51,0.665,5.33145241098577e-50,5,FBgn0052264
FBgn0031090.4,4.25482440832277e-53,-1.09429177294837,0.812,0.828,8.50964881664554e-50,5,FBgn0031090
FBgn0010397.4,2.60592145632102e-52,-1.26177431335072,0.911,0.925,5.21184291264205e-49,5,FBgn0010397
FBgn0086347.5,1.22948531745674e-51,-1.21732113363643,0.912,0.905,2.45897063491347e-48,5,FBgn0086347
FBgn0030040.5,4.0478309566993e-51,-1.68100658673175,0.979,0.969,8.0956619133986e-48,5,FBgn0030040
FBgn0010387.4,4.21358102897734e-51,-0.873081449869534,0.863,0.851,8.42716205795468e-48,5,FBgn0010387
FBgn0267795.4,7.38442219910739e-51,-0.687409284430989,0.946,0.947,1.47688443982148e-47,5,FBgn0267795
FBgn0053329.4,2.03852222952335e-49,-0.401048204707437,0.777,0.743,4.0770444590467e-46,5,FBgn0053329
FBgn0033635.5,4.27508186387984e-49,0.422866338611139,0.972,0.932,8.55016372775968e-46,5,FBgn0033635
FBgn0265052,6.81211646253218e-49,1.08330923376475,0.634,0.6,1.36242329250644e-45,5,FBgn0265052
FBgn0000318.5,1.03459211042858e-48,0.435189420044471,0.97,0.89,2.06918422085715e-45,5,FBgn0000318
FBgn0261988.4,1.86732860037722e-48,-0.919991863953028,0.526,0.666,3.73465720075444e-45,5,FBgn0261988
FBgn0031150.3,2.05697422978394e-48,-0.671008382075978,0.644,0.687,4.11394845956787e-45,5,FBgn0031150
FBgn0035587.3,4.23231419384938e-48,0.267510107512319,0.68,0.591,8.46462838769876e-45,5,FBgn0035587
FBgn0262794.5,5.53903433878148e-48,-0.701978690797115,0.763,0.748,1.1078068677563e-44,5,FBgn0262794
FBgn0259481.5,1.01496192530118e-47,-1.00840891948603,0.78,0.806,2.02992385060236e-44,5,FBgn0259481
FBgn0043841.3,1.21051878724185e-47,-0.617045890093552,0.754,0.855,2.42103757448369e-44,5,FBgn0043841
FBgn0033504.5,5.06686555759531e-47,-1.10794858434665,0.737,0.76,1.01337311151906e-43,5,FBgn0033504
FBgn0004456.5,7.53917665416757e-46,-1.12885121709714,0.702,0.755,1.50783533083351e-42,5,FBgn0004456
FBgn0085229.1,1.85955835540133e-45,0.364021692811034,0.826,0.721,3.71911671080266e-42,5,FBgn0085229
FBgn0000308.5,3.87251903359417e-45,-0.581026499883541,0.957,0.962,7.74503806718834e-42,5,FBgn0000308
FBgn0028916.4,3.85013346788489e-44,-0.643013680664874,0.728,0.8,7.70026693576977e-41,5,FBgn0028916
FBgn0259740.3,5.7493557886305e-44,-1.00266469634331,0.915,0.904,1.1498711577261e-40,5,FBgn0259740
FBgn0002563.4,1.00480248456774e-43,-0.408314406184395,0.529,0.682,2.00960496913547e-40,5,FBgn0002563
FBgn0259228.5,1.16567654794169e-43,-0.950460107552156,0.846,0.866,2.33135309588337e-40,5,FBgn0259228
FBgn0027066.4,1.30864904819946e-42,-1.07752196119774,0.966,0.944,2.61729809639891e-39,5,FBgn0027066
FBgn0262160.4,2.14716928925212e-42,-1.1399822214072,0.774,0.746,4.29433857850424e-39,5,FBgn0262160
FBgn0038353.5,2.2246673991795e-42,-0.389859793398576,0.477,0.643,4.449334798359e-39,5,FBgn0038353
FBgn0034443.3,3.26245471812144e-42,-0.974647358128837,0.959,0.959,6.52490943624288e-39,5,FBgn0034443
FBgn0261561.4,5.30448974677947e-42,-1.21151556916737,0.825,0.857,1.06089794935589e-38,5,FBgn0261561
FBgn0032050.2,5.5775126433008e-42,0.273972456889171,0.698,0.516,1.11550252866016e-38,5,FBgn0032050
