"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0038858",0.0437700041584642,0.862452150568834,4.00907671938247,0.0555626634700559,0.813652015113367,NA,"FBgn0038858","CG5793"
"FBgn0038860",0.00697650485164091,0.727798383964339,7.21293857762438,-5.93921932399155e-05,1,NA,"FBgn0038860","Ice2"
"FBgn0038862",0.0406923786821705,0.816226931625676,3.83163251023703,0.0244488625758947,0.87574822381817,NA,"FBgn0038862","Usp8"
"FBgn0038865",0,NA,NA,NA,NA,NA,"FBgn0038865","cDIP"
"FBgn0038861",0.00338017561501839,0.749488857677573,7.21293899421009,0.00129104126500934,0.971337327419278,NA,"FBgn0038861","CG7009"
"FBgn0038857",0.049773441270118,0.454713062587101,3.90238935872794,-0.00589469073861437,1,NA,"FBgn0038857","Bdbt"
"FBgn0038854",0.0441984110584654,0.482618583877849,3.77177683455385,-0.00702172726792583,1,NA,"FBgn0038854",NA
"FBgn0038853",0.057941550061001,0.98205766749654,3.39906042016994,0.138272438758008,0.710004517785455,NA,"FBgn0038853","RhoGAP93B"
"FBgn0003257",0.0526460883295727,1.04828725847081,3.27780621668864,0.0888302411869688,0.765669562112526,NA,"FBgn0003257","r-l"
"FBgn0038850",0.00299317411786513,0.749488857677573,7.21293899421009,0.00145053650838989,0.969619185687729,NA,"FBgn0038850","CG17279"
"FBgn0038849",0.0105445974522742,0.72779838396434,7.21293857762438,-0.00146473050849849,1,NA,"FBgn0038849","CG7079"
"FBgn0046763",0.0686945945239037,0.683283190754539,2.60831081240899,-0.0400437407901961,1,NA,"FBgn0046763","CG17278"
"FBgn0038868",0.0727584005129515,0.660808424181158,2.38870836920825,-0.0366311766002525,1,NA,"FBgn0038868","CG5862"
"FBgn0038870",0.0640472045534067,0.308568625243497,2.75411094519061,-0.0366535701287205,1,NA,"FBgn0038870","Oga"
"FBgn0038874",0.00645470371105563,0.657368460808395,7.21284006891404,-0.00245917906779169,1,NA,"FBgn0038874","ETHR"
"FBgn0038876",0.0358224764243696,1.00280265719918,4.75766692013447,0.0498561107893778,0.823313841031585,NA,"FBgn0038876","Idi"
"FBgn0002781",0.07290477267274,0.471463314809527,2.58181322578162,-0.0472010336423807,1,NA,"FBgn0002781","mod(mdg4)"
"FBgn0038887",0,NA,NA,NA,NA,NA,"FBgn0038887","CG7907"
