"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0021760",0.361896314638253,-0.428992899162777,0.2940924516186,2.00989258101663,0.156276382910045,NA,"FBgn0021760","chb"
"FBgn0036640",0.0187235723519728,-0.192545737434071,2.52273205523562,-0.00047734089196183,1,NA,"FBgn0036640",NA
"FBgn0067783",0.0398314926339046,-0.074138589768299,1.6196738838842,-0.00923744372175861,1,NA,"FBgn0067783",NA
"FBgn0035981",0.0551062714215395,-0.265143685526715,1.22790433637933,0.0757175753242336,0.783186965269087,NA,"FBgn0035981","CG4452"
"FBgn0001098",4.25337365673388,-0.230429175044458,0.146041238729534,2.49929503373187,0.113897271859448,0.496301822243741,"FBgn0001098","Gdh"
"FBgn0002174",0.113854211459288,-0.283953152173126,0.653847633383819,0.196167856681541,0.657831986536975,NA,"FBgn0002174","CG5504"
"FBgn0017418",0.161522662275277,-0.341171483848778,0.479500784019338,0.676223458124014,0.410890203986228,NA,"FBgn0017418","ari-1"
"FBgn0002921",1.21595835828043,-0.0109293329216495,0.200604243319536,0.00114049295416407,0.973059613661613,1,"FBgn0002921",NA
"FBgn0000083",12.2156005716599,0.0349989175111931,0.126215274659919,0.0769190218734366,0.781516907810082,0.93536680320223,"FBgn0000083","AnxB9"
"FBgn0011672",0.585401723998573,0.501365411991264,0.256776359518193,4.57101599756425,0.0325172747456184,0.343147446332055,"FBgn0011672","Mvl"
"FBgn0034275",0.00350476216207136,-0.256559911798927,6.46292014684274,0.00183163244560092,0.965862896906118,NA,"FBgn0034275",NA
"FBgn0027572",0.0553682714406545,-0.289688168509904,1.10315108831617,0.0927894727908551,0.760660426340786,NA,"FBgn0027572",NA
"FBgn0026309",0.0437723907088358,-0.163639945232567,1.47157440289449,-0.00957376258566001,1,NA,"FBgn0026309",NA
"FBgn0028744",0.0658219658632137,-0.089329719366647,1.15266422979976,-0.0121819986970877,1,NA,"FBgn0028744",NA
"FBgn0028743",0.00627504377269338,-0.176748865919824,6.4629201445458,4.24480158045526e-05,0.994801647972513,NA,"FBgn0028743","Dhit"
"FBgn0026316",0.437448477176834,-0.334520185390711,0.261177270367629,1.24254641044035,0.264980862224859,0.666304479711972,"FBgn0026316","Ubc10"
"FBgn0028740",0.00432676540344154,-0.206656712811848,5.60931547935676,0.00110104319014681,0.973529475374807,NA,"FBgn0028740","CG6362"
"FBgn0034279",0,NA,NA,NA,NA,NA,"FBgn0034279",NA
"FBgn0034278",0.00169500190268618,-0.229448440149005,6.4629203710423,0.00129024802117073,0.971346130469447,NA,"FBgn0034278","CG14488"
"FBgn0034277",0.48229508884584,-0.087230479017147,0.268730129643461,0.0617363920491698,0.803772256093953,0.940788888903202,"FBgn0034277",NA
"FBgn0034276",0.00115230383621323,-0.176747059912405,6.46292061024692,-0.000398760321346003,1,NA,"FBgn0034276","Sardh"
"FBgn0035917",0.00971253254115509,-0.164303216519839,4.02684393761325,-0.000737104530259103,1,NA,"FBgn0035917","Zasp66"
"FBgn0036101",0.168858264444562,-0.133319992783707,0.497490882181009,0.00361453443179016,0.952059266018676,NA,"FBgn0036101","NijA"
"FBgn0032388",0.0496733456560334,-0.0573814538587759,1.24373202702413,-0.0194890821550189,1,NA,"FBgn0032388",NA
"FBgn0030892",0.0256934450330095,-0.242751394577307,2.05336371552352,0.0174365016944193,0.894946842578305,NA,"FBgn0030892","CG7206"
"FBgn0036689",0.00668224464533222,-0.200899009554779,6.46292030358087,0.000529659673048855,0.981638837304184,NA,"FBgn0036689","CG7730"
"FBgn0010424",0.109402010108145,-0.0217473041486666,0.740899140529804,-0.0191070157568447,1,NA,"FBgn0010424","TpnC73F"
"FBgn0036911",0.0908940628742942,-0.110103604355528,0.80599645439767,-0.0316596859804577,1,NA,"FBgn0036911","Fibp"
"FBgn0036900",0.0189067380456221,-0.144814377224464,2.32470746218378,0.000312842394748714,0.985888271299676,NA,"FBgn0036900","CG8765"
"FBgn0053493",0.00262050815804196,-0.15425504207162,6.46292030951748,-0.000680412669836983,1,NA,"FBgn0053493","CG33493"
"FBgn0053494",3.27371785470928,0.195035190486468,0.144204214725847,1.83407823983998,0.175646602668281,0.572878637673694,"FBgn0053494",NA
"FBgn0000281",0.100196453562021,-0.773974322100109,1.02607095819696,0.912992509299556,0.339321662770122,NA,"FBgn0000281","Cec2"
"FBgn0040227",0.582032845955993,0.083315447227535,0.262189101772186,0.134614485644761,0.713694754424645,0.911276484627587,"FBgn0040227","eIF3d1"
"FBgn0025790",0.070393603192124,0.0587207166137723,1.055511438905,0.04594849213629,0.830269455791126,NA,"FBgn0025790","TBPH"
