"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0001250",0.00970356858098837,0.598810977881926,8.04745769463537,-0.00433474910283493,1,1,"FBgn0001250","if"
"FBgn0030777",0,NA,NA,NA,NA,NA,"FBgn0030777","CG9672"
"FBgn0030775",0,NA,NA,NA,NA,NA,"FBgn0030775","CG9673"
"FBgn0030770",0.00305677212011357,0.72975742014898,8.04743179580291,-0.000668914501879669,1,1,"FBgn0030770","CG13010"
"FBgn0030769",0.0124159019814817,0.630019276441734,8.04745906806796,-0.00535322965995988,1,1,"FBgn0030769","CG13012"
"FBgn0030768",0.0632676359066165,0.832285366096975,4.43310888517485,0.0155434327771786,0.900782192645256,1,"FBgn0030768",NA
"FBgn0030808",0.0908556553083438,0.205758258623757,2.9910366059405,-0.0282017608917897,1,1,"FBgn0030808","RhoGAP15B"
"FBgn0030813",0,NA,NA,NA,NA,NA,"FBgn0030813","CG4949"
"FBgn0030816",0,NA,NA,NA,NA,NA,"FBgn0030816","CG16700"
"FBgn0000163",0.0815349131597873,0.687993485230403,2.58550470808348,-0.051133046051973,1,1,"FBgn0000163","baz"
"FBgn0052564",0,NA,NA,NA,NA,NA,"FBgn0052564","CG32564"
"FBgn0028974",0.00833542299885734,0.780717958358518,8.04741139235433,0.00175840131790039,0.966551873320919,1,"FBgn0028974",NA
